vendor_id,hex_code
9T9_DEL_51,#440154
FGH_BAN_06,#440154
DYG_DEL_50,#440154
AST_DEL_31,#440154
AFA_HYD_11,#440154
SBL_DEL_40,#440154
SSE_DEL_42,#440154
GTC_DEL_42,#440154
BBC_LUD_01,#440154
SNP_BLR_03,#440154
SBA_DEL_39,#440154
DDR_DEL_31,#440154
MHA_DEL_49,#440154
MPC_BAN_07,#440154
RKS_GGN_03,#440154
NDM_DEL_36,#440154
BRT_DEL_30,#440154
DPA_PUN_02,#440154
TFS_DEL_41,#440154
CCH_HYD_13,#440154
GPT_DEL_34,#440154
NDP_NOI_03,#440154
SIM_CHN_13,#440154
BLP_GGN_04,#440154
VIN_KOL_05,#440154
SMH_HYD_13,#440154
STA_DEL_43,#440154
NBG_DEL_43,#440154
MMM_MMB_15,#440154
OIP_LUC_02,#440154
UMP_KOL_04,#440154
SMG_MMB_05,#440154
PEN_HYD_12,#440154
NDP_DLI_01,#440154
KAP_DEL_33,#440154
DFP_AHM_07,#440154
EEI_DEL_35,#440154
MHR_MMB_03,#440154
BTM_DEL_46,#440154
KHH_DEL_52,#440154
PNT_DEL_47,#440154
HAT_DEL_44,#440154
UMG_MMB_05,#440154
JIV_FRD_01,#440154
MMS_DEL_47,#440154
ZVP_MMB_02,#440154
SKP_BAN_06,#440154
IPL_HYD_19,#440154
EMB_PUN_01,#440154
AVL_LUD_01,#440154
VIN_KOL_08,#440154
ARX_MMB_05,#440154
SPA_DEH_01,#440154
JSG_DEL,#440154
PLT_MOH_01,#440154
NMS_DEL_44,#440154
BHC_DEL_37,#440154
GTK_DEL_45,#440154
MLP_CHN_11,#440154
RPP_DEL_48,#440154
SRL_BAN_07,#440154
ARP_DEL_43,#440154
UMP_KOL_07,#440154
INC_GGN_03,#440154
