vendor_id,hex_code
SAM_NOI_03,#440154
MCD_BAN_04,#440154
MMT_PAT_01,#440154
DMC_KOT_01,#440154
CDD_GUW_02,#440154
SMC_RAN_01,#440154
SMD_GWL_01,#440154
UNM_JAI_05,#440154
MDT_GGN_03,#440154
SUN_IND_03,#440154
OBP_KOL_06,#440154
KMS_BHU_02,#440154
RED_LUC_01,#440154
YPW_GGN_01,#440154
ROY_AHM_06,#440154
WLF_MMB_09,#440154
SHD_GZB_02,#440154
NHM_RAN_02,#440154
TAR_BHP_01,#440154
M2V_BAN_05,#440154
SGH_HYD_20,#440154
SUN_IND_04,#440154
BPS_JOD_01,#440154
NAT_BAN_06,#440154
RSM_MMB_16,#440154
MMP_GWL_02,#440154
M2D_BAN_05,#440154
MDT_GGN_04,#440154
